"lat","lon","time","total"
25,-82,2015-09-01,-Inf
25,-82,2015-09-02,-Inf
25,-82,2015-09-03,-Inf
25,-82,2015-09-04,-Inf
25,-82,2015-09-05,-Inf
25,-82,2015-09-06,-Inf
25,-82,2015-09-07,-Inf
25,-82,2015-09-08,-Inf
25,-82,2015-09-09,-Inf
25,-82,2015-09-10,-Inf
25,-82,2015-09-11,-Inf
25,-82,2015-09-12,-Inf
25,-82,2015-09-13,-Inf
25,-82,2015-09-14,-Inf
25,-82,2015-09-15,-Inf
25,-82,2015-09-16,-Inf
25,-82,2015-09-17,-Inf
25,-82,2015-09-18,-Inf
25,-82,2015-09-19,-Inf
25,-82,2015-09-20,-Inf
25,-82,2015-09-21,-Inf
25,-82,2015-09-22,-Inf
25,-82,2015-09-23,-Inf
25,-82,2015-09-24,-Inf
25,-82,2015-09-25,-Inf
25,-82,2015-09-26,-Inf
25,-82,2015-09-27,-Inf
25,-82,2015-09-28,-Inf
25,-82,2015-09-29,-Inf
25,-82,2015-09-30,-Inf
25,-81.9,2015-09-01,-Inf
25,-81.9,2015-09-02,-Inf
25,-81.9,2015-09-03,-Inf
25,-81.9,2015-09-04,-Inf
25,-81.9,2015-09-05,-Inf
25,-81.9,2015-09-06,-Inf
25,-81.9,2015-09-07,-Inf
25,-81.9,2015-09-08,-Inf
25,-81.9,2015-09-09,-Inf
25,-81.9,2015-09-10,-Inf
25,-81.9,2015-09-11,-Inf
25,-81.9,2015-09-12,-Inf
25,-81.9,2015-09-13,-Inf
25,-81.9,2015-09-14,-Inf
25,-81.9,2015-09-15,-Inf
25,-81.9,2015-09-16,-Inf
25,-81.9,2015-09-17,-Inf
25,-81.9,2015-09-18,-Inf
25,-81.9,2015-09-19,-Inf
25,-81.9,2015-09-20,-Inf
25,-81.9,2015-09-21,-Inf
25,-81.9,2015-09-22,-Inf
25,-81.9,2015-09-23,-Inf
25,-81.9,2015-09-24,-Inf
25,-81.9,2015-09-25,-Inf
25,-81.9,2015-09-26,-Inf
25,-81.9,2015-09-27,-Inf
25,-81.9,2015-09-28,-Inf
25,-81.9,2015-09-29,-Inf
25,-81.9,2015-09-30,-Inf
25,-81.8,2015-09-01,-Inf
25,-81.8,2015-09-02,-Inf
25,-81.8,2015-09-03,-Inf
25,-81.8,2015-09-04,-Inf
25,-81.8,2015-09-05,-Inf
25,-81.8,2015-09-06,-Inf
