lat,lon,time,avg_2m_temperature,max_2m_temperature,min_2m_temperature,prcp_total,avg_10m_u_component_of_wind,max_10m_u_component_of_wind,min_10m_u_component_of_wind,avg_10m_v_component_of_wind,max_10m_v_component_of_wind,min_10m_v_component_of_wind,avg_lake_shape_factor,max_lake_shape_factor,min_lake_shape_factor,avg_leaf_area_index_low_vegetation,max_leaf_area_index_low_vegetation,min_leaf_area_index_low_vegetation,avg_leaf_area_index_high_vegetation,max_leaf_area_index_high_vegetation,min_leaf_area_index_high_vegetation,avg_surface_pressure,max_surface_pressure,min_surface_pressure
25.2,-81.1,2015-01-01,23.117913384188,24.7350642542152,21.439904009329,0.407142153231272,-1.30259842945176,1.80908274239099,-2.73772877233649,-1.4053580117186,2.03371449991604,-3.63818558617302,0.650001667565567,0.650001667565567,0.650001667565567,2.93977426608844,2.93984205566041,2.93821510593303,2.33048109319684,2.33065910316653,2.32638686389395,102098.089877796,102264.405794957,101949.506660766
25.2,-81.1,2015-01-02,24.1829222510828,26.2599694367664,22.8254303436282,0.0562321167809458,-4.28556136006457,-2.38293706859781,-5.62643212061174,0.640814756493234,3.51011078405684,-1.69772748365186,0.650001667565567,0.650001667565567,0.650001667565567,2.94123992338595,2.94130070024358,2.93984205566041,2.33475333246942,2.33493134243911,2.33065910316653,102148.585323405,102348.688048269,102030.716727403
25.2,-81.1,2015-01-03,24.7271164268503,26.1784256260622,23.9375873389587,0.314142883170478,-6.66803592164996,-5.12179050473498,-7.56535146695299,2.47560831881718,4.21778250061485,1.02980111705559,0.650001667565567,0.650001667565567,0.650001667565567,2.94269856796912,2.94275934482675,2.94130070024358,2.339025571742,2.33920358171169,2.33493134243911,102167.122298822,102336.949976539,102073.205648776
25.2,-81.1,2015-01-04,24.8432504994005,25.9837263071122,24.0144612397988,0.113275273707771,-5.68211427021137,-2.66910003106317,-6.9587111713856,3.38096245017727,4.72364898053435,1.46348688640393,0.650001667565567,0.650001667565567,0.650001667565567,2.94426474083886,2.94433019283939,2.94275934482675,2.34329781101458,2.34347582098427,2.33920358171169,102262.548474554,102423.290015264,102157.458919194
25.2,-81.1,2015-01-05,24.6817344822734,26.3795909740548,23.3412757716949,0.750212134938102,-3.37207241300505,0.14530798262261,-4.73488810553813,0.0869280538465386,1.43611836697904,-1.36148567357457,0.650001667565567,0.650001667565567,0.650001667565567,2.94572806056493,2.94578883742256,2.94433019283939,2.34757005028716,2.34774806025686,2.34347582098427,102454.790797268,102665.558019195,102345.818741846
25.2,-81.1,2015-01-06,23.797849266871,26.2746976140301,21.9007881905335,0.15355693428643,-3.52871699027684,-0.283779055705546,-6.65460399675243,-2.27756666053343,2.63642343318517,-4.87067121917546,0.650001667565567,0.650001667565567,0.650001667565567,2.94729423343467,2.9473596854352,2.94578883742256,2.35184228955974,2.35202029952944,2.34774806025686,102412.130393777,102574.725632029,102203.802565358
25.2,-81.1,2015-01-07,22.903905784069,24.8108604835481,21.0681073393784,0.0556914233503601,1.44799482385659,5.48953510122774,-1.08560200994019,-3.26817172488232,-0.450504955574476,-4.91428039847887,0.650001667565567,0.650001667565567,0.650001667565567,2.94881131730403,2.94887443173311,2.9473596854352,2.35611452883232,2.35629253880202,2.35202029952944,102110.201104275,102274.173029952,101894.265266402
25.2,-81.1,2015-01-08,19.0098595344299,22.2334294623927,14.7177483718544,0.0021627737223448,-1.89504600750048,5.32835200245737,-6.92660047592744,-7.24673239116952,-3.26434965600659,-9.7750497495246,0.650001667565567,0.650001667565567,0.650001667565567,2.95027229945864,2.95033307631627,2.94887443173311,2.36038676810491,2.3605647780746,2.35629253880202,102247.121122049,102515.252735263,102024.485405373
25.2,-81.1,2015-01-09,21.4615023424506,24.0575681000829,19.3973572795326,0.0078400547434982,-3.41723463705016,0.989000765248773,-6.76825067381514,-0.74614511595549,3.01537216368372,-4.17954091545667,0.650001667565567,0.650001667565567,0.650001667565567,2.95183847232839,2.95190392432892,2.95033307631627,2.36465900737749,2.36483701734718,2.3605647780746,102221.495414012,102351.499388905,102078.74138137
25.2,-81.1,2015-01-10,20.4915830183978,23.8851406589464,16.8705768192111,0.001622080291759,-1.77291255757771,0.942723586500249,-4.34043024858642,-4.97658638683994,-2.23246624779982,-6.7762419782539,0.650001667565567,0.650001667565567,0.650001667565567,2.95330179205445,2.95336256891208,2.95190392432892,2.36907746912517,2.36926183659378,2.36483701734718,102370.545980194,102603.302764685,102236.727131989
